workerid,super_endorsement,strength,trial_num,target,degree,paraphrase0,gender,condition,contextWithSuper,adjective,super_category,form,names,context,paraphrase1,sub_endorsement,contextWithSuperPronoun,sub_category
1,0.08,2,4,long,time,super,male,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,long,things you watch online,positive,Gary, finds a music video to watch online with their friend.,sub_plural,0.83,,music video
1,0.14,2,5,expensive,price,super,male,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,expensive,kitchen appliances,positive,John, is buying a toaster.,sub_plural,0.83,,toaster
1,0.27,2,6,warm,temperature,super,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.",warm,days of the year,positive,Jasmine, lives in Maryland and steps outside in Fall.,sub_plural,0.82,She,day in Fall
1,0.11,3,7,heavy,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,Lucas, picks up a watermelon.,sub_plural,0.86,,watermelon
1,0.15,3,8,short,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,short,things you watch online,negative,Sophie, finds a movie to watch online with their friend.,sub_plural,0.85,,movie
1,0.16,1,9, tall,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,tall,people,positive,Alexander, sees a professional gymnast.,sub_plural,0.9,,gymnast
1,0.07,1,10,long,time,super,male,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,long,things you watch online,positive,Anthony, finds a video of a cute animal to watch online with their friend.,sub_plural,0.88,,video of the cute animal
1,0.87,3,11, tall,height,super,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,tall,people,positive,Natalia, sees a professional basketball player.,sub_plural,0.05,,basketball player
1,0.09,2,12,heavy,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,heavy,produce,positive,Daniel, picks up an apple.,sub_plural,0.9,,apple
1,0.12,1,13,cheap,price,super,male,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,cheap,kitchen appliances,negative,Greg, is buying a can opener.,sub_plural,0.91,,can opener
1,0.11,1,14,heavy,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,heavy,produce,positive,David, picks up a grape.,sub_plural,0.85,,grape
1,0.1,3,15,cold,temperature,super,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Melinda, lives in Maryland and steps outside in Summer.,sub_plural,0.91,She,day in Summer
2,0.86,1,1,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,short,things you watch online,negative,Angela, finds a video of a cute animal to watch online with their friend.,super,0.17,,video of the cute animal
2,0.95,1,2, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,short,people,negative,Cameron, sees a professional gymnast.,super,0.06,,gymnast
2,0.51,2,3,long,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,long,things you watch online,positive,Tanya, finds a music video to watch online with their friend.,super,0.51,,music video
2,0.15,3,4,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,expensive,kitchen appliances,positive,Julia, is buying an oven.,super,0.84,,oven
2,0.32,2,5,warm,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.",warm,days of the year,positive,Lucas, lives in Maryland and steps outside in Fall.,super,0.71,He,day in Fall
2,0.25,2,6,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,expensive,kitchen appliances,positive,Kim, is buying a toaster.,super,0.69,,toaster
2,0.93,2,7, tall,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,tall,people,positive,Sophie, sees a professional soccer player.,super,0.1,,soccer player
2,0.52,3,8,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,light,produce,negative,Melinda, picks up a watermelon.,super,0.46,,watermelon
2,0.83,3,9, short,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Laura, sees a professional basketball player.,super,0.23,,basketball player
2,0.56,1,10,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,light,produce,negative,Michelle, picks up a grape.,super,0.43,,grape
2,0.48,1,11,warm,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.",warm,days of the year,positive,Josh, lives in Maryland and steps outside in Winter.,super,0.48,He,day in Winter
2,0.58,2,12,heavy,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,heavy,produce,positive,Michael, picks up an apple.,super,0.36,,apple
2,0.35,3,13,short,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,short,things you watch online,negative,Alexander, finds a movie to watch online with their friend.,super,0.61,,movie
2,0.46,3,14,cold,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Eric, lives in Maryland and steps outside in Summer.,super,0.54,He,day in Summer
2,0.28,1,15,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,expensive,kitchen appliances,positive,Stephanie, is buying a can opener.,super,0.71,,can opener
3,0.88,1,1, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,short,people,negative,Greg, sees a professional gymnast.,super,0.12,,gymnast
3,0.89,2,2,cheap,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,cheap,kitchen appliances,negative,Gabriel, is buying a toaster.,super,0.2,,toaster
3,0,2,3,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.",warm,days of the year,positive,Julia, lives in Maryland and steps outside in Fall.,super,0.79,She,day in Fall
3,0.24,3,4, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Lee, sees a professional basketball player.,super,0.87,,basketball player
3,0.89,3,5,heavy,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,David, picks up a watermelon.,super,0.19,,watermelon
3,0.71,2,6,short,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,short,things you watch online,negative,Eric, finds a music video to watch online with their friend.,super,0.27,,music video
3,0.55,1,7,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,light,produce,negative,Veronica, picks up a grape.,super,0.2,,grape
3,0.2,1,8,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.",warm,days of the year,positive,Laura, lives in Maryland and steps outside in Winter.,super,0.69,She,day in Winter
3,0.82,1,9,long,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,long,things you watch online,positive,Daniel, finds a video of a cute animal to watch online with their friend.,super,0.06,,video of the cute animal
3,0.31,1,10,cheap,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,cheap,kitchen appliances,negative,Melinda, is buying a can opener.,super,0.86,,can opener
3,0.45,3,11,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,short,things you watch online,negative,Claire, finds a movie to watch online with their friend.,super,0.75,,movie
3,0.88,3,12,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,expensive,kitchen appliances,positive,Monica, is buying an oven.,super,0.3,,oven
3,0.26,2,13, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,short,people,negative,Anthony, sees a professional soccer player.,super,0.85,,soccer player
3,0.66,2,14,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,heavy,produce,positive,Mika, picks up an apple.,super,0.38,,apple
3,0.46,3,15,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.",warm,days of the year,positive,Natalia, lives in Maryland and steps outside in Summer.,super,0.78,She,day in Summer
4,0.78,2,1,cold,temperature,super,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.",cold,days of the year,negative,Gary, lives in Maryland and steps outside in Fall.,sub_plural,0.32,He,day in Fall
4,1,3,2,heavy,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,Lee, picks up a watermelon.,sub_plural,0.37,,watermelon
4,1,2,3, tall,height,super,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,tall,people,positive,Veronica, sees a professional soccer player.,sub_plural,0.36,,soccer player
4,0.28,1,4,expensive,price,super,male,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,expensive,kitchen appliances,positive,William, is buying a can opener.,sub_plural,1,,can opener
4,0.39,3,5, short,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Daniel, sees a professional basketball player.,sub_plural,0.62,,basketball player
4,0.21,2,6,light,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,light,produce,negative,Anthony, picks up an apple.,sub_plural,0.64,,apple
4,0.7,3,7,long,time,super,male,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,long,things you watch online,positive,Tom, finds a movie to watch online with their friend.,sub_plural,0.38,,movie
4,0.72,1,8, tall,height,super,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,tall,people,positive,Stephanie, sees a professional gymnast.,sub_plural,0.36,,gymnast
4,0.65,1,9,short,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,short,things you watch online,negative,Jasmine, finds a video of a cute animal to watch online with their friend.,sub_plural,0.34,,video of the cute animal
4,0.31,2,10,cheap,price,super,male,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,cheap,kitchen appliances,negative,Eric, is buying a toaster.,sub_plural,0.65,,toaster
4,0.52,2,11,short,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,short,things you watch online,negative,Kim, finds a music video to watch online with their friend.,sub_plural,0.52,,music video
4,0.2,3,12,cold,temperature,super,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Claire, lives in Maryland and steps outside in Summer.,sub_plural,0.77,She,day in Summer
4,0.72,1,13,light,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,light,produce,negative,John, picks up a grape.,sub_plural,0.31,,grape
4,0.26,3,14,cheap,price,super,male,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,cheap,kitchen appliances,negative,Gabriel, is buying an oven.,sub_plural,0.7,,oven
4,0.67,1,15,cold,temperature,super,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.",cold,days of the year,negative,Michael, lives in Maryland and steps outside in Winter.,sub_plural,0.28,He,day in Winter
5,1,3,1,long,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,long,things you watch online,positive,Anthony, finds a movie to watch online with their friend.,super,0.2,,movie
5,0.1,1,2,expensive,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,expensive,kitchen appliances,positive,Robert, is buying a can opener.,super,0.99,,can opener
5,0.62,1,3,cold,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.",cold,days of the year,negative,Cameron, lives in Maryland and steps outside in Winter.,super,0.37,He,day in Winter
5,0.85,3,4,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,Stephanie, picks up a watermelon.,super,0.3,,watermelon
5,0,3,5,cold,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Mika, lives in Maryland and steps outside in Summer.,super,0.87,She,day in Summer
5,0.64,2,6,cheap,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,cheap,kitchen appliances,negative,Claire, is buying a toaster.,super,0.42,,toaster
5,0.07,3,7, short,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Alicia, sees a professional basketball player.,super,1,,basketball player
5,0.03,3,8,cheap,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,cheap,kitchen appliances,negative,Angela, is buying an oven.,super,0.87,,oven
5,0.86,2,9,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,light,produce,negative,Natalia, picks up an apple.,super,0.25,,apple
5,0.24,1,10, short,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,short,people,negative,Jennifer, sees a professional gymnast.,super,0.87,,gymnast
5,0.25,1,11,long,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,long,things you watch online,positive,Jasmine, finds a video of a cute animal to watch online with their friend.,super,0.96,,video of the cute animal
5,0.83,2,12, tall,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,tall,people,positive,Kathleen, sees a professional soccer player.,super,0.18,,soccer player
5,0.05,2,13,short,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,short,things you watch online,negative,Gary, finds a music video to watch online with their friend.,super,0.81,,music video
5,0.06,2,14,warm,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.",warm,days of the year,positive,Josh, lives in Maryland and steps outside in Fall.,super,0.88,He,day in Fall
5,0.01,1,15,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,heavy,produce,positive,Kim, picks up a grape.,super,0.92,,grape
6,0.37,1,1,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.",warm,days of the year,positive,Monica, lives in Maryland and steps outside in Winter.,super,0.98,She,day in Winter
6,0.98,2,2, tall,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,tall,people,positive,Eric, sees a professional soccer player.,super,0.02,,soccer player
6,0.29,2,3,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,expensive,kitchen appliances,positive,Julia, is buying a toaster.,super,0.98,,toaster
6,0.96,3,4,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,Alicia, picks up a watermelon.,super,0.48,,watermelon
6,0.49,2,5,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.",warm,days of the year,positive,Tanya, lives in Maryland and steps outside in Fall.,super,0.97,She,day in Fall
6,0.69,2,6,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,short,things you watch online,negative,Kathleen, finds a music video to watch online with their friend.,super,0.98,,music video
6,0.98,1,7, tall,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,tall,people,positive,Kim, sees a professional gymnast.,super,0.02,,gymnast
6,0.02,3,8,long,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,long,things you watch online,positive,Anthony, finds a movie to watch online with their friend.,super,1,,movie
6,0.26,3,9, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Daniel, sees a professional basketball player.,super,0.98,,basketball player
6,0.03,1,10,cheap,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,cheap,kitchen appliances,negative,Jasmine, is buying a can opener.,super,0.98,,can opener
6,0.97,1,11,short,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,short,things you watch online,negative,Alexander, finds a video of a cute animal to watch online with their friend.,super,0,,video of the cute animal
6,0.98,3,12,warm,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.",warm,days of the year,positive,Cameron, lives in Maryland and steps outside in Summer.,super,0.83,He,day in Summer
6,0.96,2,13,light,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,light,produce,negative,Charles, picks up an apple.,super,0.01,,apple
6,0.8,3,14,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,expensive,kitchen appliances,positive,Sophie, is buying an oven.,super,0.98,,oven
6,0.97,1,15,light,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,light,produce,negative,William, picks up a grape.,super,0.03,,grape
7,0.58,3,1,light,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,light,produce,negative,Robert, picks up a watermelon.,super,0.99,,watermelon
7,0.09,1,2,cheap,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,cheap,kitchen appliances,negative,Tom, is buying a can opener.,super,1,,can opener
7,0.77,1,3,cold,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.",cold,days of the year,negative,Lee, lives in Maryland and steps outside in Winter.,super,0.42,He,day in Winter
7,0.81,2,4, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,short,people,negative,John, sees a professional soccer player.,super,0.09,,soccer player
7,0.49,1,5,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,light,produce,negative,Alicia, picks up a grape.,super,0.15,,grape
7,0.32,3,6,expensive,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,expensive,kitchen appliances,positive,Cameron, is buying an oven.,super,0.75,,oven
7,0.72,3,7,warm,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.",warm,days of the year,positive,David, lives in Maryland and steps outside in Summer.,super,0.43,He,day in Summer
7,0.11,2,8,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,heavy,produce,positive,Kathleen, picks up an apple.,super,0.88,,apple
7,0.49,2,9,cheap,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,cheap,kitchen appliances,negative,Kim, is buying a toaster.,super,0.82,,toaster
7,0.03,3,10,long,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,long,things you watch online,positive,Angela, finds a movie to watch online with their friend.,super,0.95,,movie
7,0.83,1,11, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,short,people,negative,Michael, sees a professional gymnast.,super,0.1,,gymnast
7,0.93,1,12,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,short,things you watch online,negative,Claire, finds a video of a cute animal to watch online with their friend.,super,0.21,,video of the cute animal
7,0.52,2,13,cold,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.",cold,days of the year,negative,Jasmine, lives in Maryland and steps outside in Fall.,super,0.73,She,day in Fall
7,0.14,2,14,long,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,long,things you watch online,positive,Michelle, finds a music video to watch online with their friend.,super,0.89,,music video
7,0.98,3,15, tall,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,tall,people,positive,Veronica, sees a professional basketball player.,super,0.01,,basketball player
8,0.86,2,1,cold,temperature,super,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.",cold,days of the year,negative,Alexander, lives in Maryland and steps outside in Fall.,sub_plural,0.93,He,day in Fall
8,0.91,1,2,long,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,long,things you watch online,positive,Jennifer, finds a video of a cute animal to watch online with their friend.,sub_plural,0.92,,video of the cute animal
8,0.17,3,3,light,weight,super,female,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,light,produce,negative,Mika, picks up a watermelon.,sub_plural,0.95,,watermelon
8,0.46,2,4,expensive,price,super,female,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,expensive,kitchen appliances,positive,Monica, is buying a toaster.,sub_plural,0.88,,toaster
8,0.99,3,5, tall,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,tall,people,positive,William, sees a professional basketball player.,sub_plural,0.02,,basketball player
8,0.15,3,6,cheap,price,super,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,cheap,kitchen appliances,negative,Alicia, is buying an oven.,sub_plural,0.94,,oven
8,0.22,3,7,long,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,long,things you watch online,positive,Kathleen, finds a movie to watch online with their friend.,sub_plural,0.97,,movie
8,0.84,2,8, tall,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,tall,people,positive,Gabriel, sees a professional soccer player.,sub_plural,0.96,,soccer player
8,0.03,1,9,heavy,weight,super,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,heavy,produce,positive,Kim, picks up a grape.,sub_plural,0.98,,grape
8,0.2,1,10,cheap,price,super,female,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,cheap,kitchen appliances,negative,Claire, is buying a can opener.,sub_plural,0.99,,can opener
8,0.63,1,11,cold,temperature,super,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.",cold,days of the year,negative,Lee, lives in Maryland and steps outside in Winter.,sub_plural,0.97,He,day in Winter
8,0.23,2,12,long,time,super,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,long,things you watch online,positive,Kim, finds a music video to watch online with their friend.,sub_plural,0.96,,music video
8,0.91,1,13, tall,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,tall,people,positive,Simon, sees a professional gymnast.,sub_plural,0.94,,gymnast
8,0.11,3,14,cold,temperature,super,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Eric, lives in Maryland and steps outside in Summer.,sub_plural,0.93,He,day in Summer
8,0.06,2,15,light,weight,super,male,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,light,produce,negative,Gary, picks up an apple.,sub_plural,0.95,,apple
